Manufacturer (Customer),Clean Name (Sanmina Agile/Oracle)
1ST VISION,1ST VISION
3Gmetalworx,3GMETALWORX
3M,3M INTERCONNECT SOLUTIONS
"A&D Precision, Inc",A & D PRECISION INC
A&J Product Solutions,A&J PRODUCT SOLUTIONS
A-1 Jay's Machining Inc.,A1 JAYS MACHINING
ABB,ABB
ABERDEEN,ABERDEEN
ABRACON,ABRACON CORP
Abracon Corporation,ABRACON CORP
Abracon LLC,ABRACON
ACCURACY TECH MACHINE,ACCURACY MACHINE
ACCURATE SCREW,ACCURATE SCREW
Acronics,ACRONICS SYSTEMS
Acronics Systems Inc.,ACRONICS SYSTEMS
Acronics Systems Inc.,ADVANCED ANTIVIBRATION CO
ADI,ANALOG DEVICES INC
Advanced Molding Technologies,ADVANCED MOLDING TECH
ADVANCED THERMAL SOLUTION,ADVANCED THERMAL SOLUTION
Advanced Thermal Solutions Inc.,ADVANCED THERMAL SOLUTION
Advantage Metal Products,ADVANTAGE METAL PRODUCTS
Advantech,ADVANTECH
AEM,AEM
Airpax,AIRPAX CORP
ALLEGRO MICROSYSTEMS,ALLEGRO MICROSYSTEMS INC
ALLEN-BRADLEY,ALLEN-BRADLEY 
ALLIANCE MEMORY INC.,ALLIANCE MEMORY INC 
ALLIED ELECTRONICS,ALLIED ELECTRONICS
Allied Electronics Inc.,ALLIED ELECTRONICS
ALL-WEST,ALL-WEST
"Alpha Novatech, Inc.",ALPHA COMPANY LTD
ALPHA WIRE,ALPHA WIRE
ALPHA WIRE COMPANY,ALPHA WIRE
ALPS ELECTRIC,ALPS ELECTRIC
ALTECH CORP.,ALTECH CORP.
Altech Corporation,ALTECH CORP.
Altera,ALTERA CORP
American Gasket & Die Co,AMERICAN GASKET
Ametek - Hunter Spring,AMETEK
Ametherm,AMETHERM
AMIDON ASSOCIATES,AMIDON ASSOCIATES
AMP,AMP
AMPHENOL,AMPHENOL
AMPHENOL AST,AMPHENOL
Amphenol FCI,AMPHENOL FCI
Amphenol ICC (Commercial Products),AMPHENOL
Amphenol ICC (FCI),AMPHENOL
AMPHENOL LTW,AMPHENOL
Amphenol RF,AMPHENOL RF
ANALOG  DEVICES,ANALOG  DEVICES INC
Analog Device,ANALOG  DEVICES INC
ANALOG DEVICES,ANALOG DEVICES INC
Analog Devices Inc,ANALOG  DEVICES INC
Analog Devices Inc.,ANALOG  DEVICES INC
ANALOG DEVICES/HITTITE,ANALOG DEVICES INC
ANGULAR MACHINING,ANGULAR MACHINING
Anpec Elec,ANPEC ELECTRONICS
APC,ADVANCED POWER COMPONENTS
API Delevan,AMERICAN PRECISION IND
API-INMET,API TECHNOLOGIES
APPLE RUBBER,APPLE RUBBER PRODUCTS
ARC Technologies Inc,ARC TECHNOLOGIES
ARRK,ARRK
Arrow Electronics Inc,ARROW ELECTRONICS
Aspen Systems,ASPEN SYSTEMS
AST BEARINGS,AST BEARINGS
AST Bearings LLC,AST BEARINGS LLC
Atlas Casters LLC,ATLAS CASTERS
ATLAS COPCO,ATLAS COPCO
Atmel,ATMEL CORP
AUTOMATION DIRECT,AUTOMATION DIRECT
AVAGO TECHNOLOGIES,AVAGO TECHNOLOGIES
Avago Technologies Ltd,AVAGO TECHNOLOGIES
Avago Technologies US Inc.,AVAGO TECHNOLOGIES
AVNET,AVNET
AVX,AVX  CORPORATION 
AVX Corporation,AVX  CORPORATION 
AVX Corporation,AVX Corporation
Baknor,BAKNOR
BALLUFF SENSOR,BALLUFF
Bal-Tec,BAL-TEC
BAND-IT,BAND-LT CLAMPS PTE LTD No 
Bel Fuse Inc,BEL FUSE 
Bel Fuse Inc,Bel Fuse Inc
Bel Fuse Inc.,BEL FUSE INC
BELDEN,BELDEN CDT
Bell Plastics,BELL
"Bell-Everman, Inc",BELL-EVERMAN
BESWICK ENGINEERING,BESWICK ENGINEERING
BH Electronics,BH ELECTRONICS
Bisco Industries,BISCO INDUSTRIES INC
Black Box Corporation,BLACK BOX CORPORATION
"Blum, Inc.",BLUM
BONDLINE ADHESIVES,BONDLINE ELECTRONIC ADHESIVES
BOSCH,BOSCH
BOSCH REXROTH,BOSCH REXROTH
Bosch Sensortec,BOSCH SENSORTEC 
BOSSARD GROUP,BOSSARD GROUP
BOURNS,BOURNS INC
Bourns Inc,BOURNS INC
Bourns Inc.,BOURNS INC
BRADY,BRADY
Brecoflex,Brecoflex
BRENNAN INDUSTRIES,BRENNAN MACHINE
BROADCOM,BROADCOM LIMITED
Broadcom Avago,BROADCOM LIMITED
Broadcom Limited,BROADCOM LIMITED
Bussmann / Eaton,EATON BUSSMANN
C&&K Components,C&K Components
C&K,C&K
C&K Components,C&K Components
CABLE CONNECTION,CABLE CONNECTION
CABLE ORGANIZER,CABLEORGANIZER.COM
Calmax Technology Inc.,CALMAX TECHNOLOGY INC
CANTHERM,CANTHERM
"Carl Stahl Sava Industries, Inc.",CARL STAHL SAVA INDUSTRIES
CBC AMERICA CORP,CBC AMERICA CORP
CDW,CDW
Central Semiconductor,CENTRAL SEMICONDUCT
Central Semiconductor Corp,CENTRAL SEMICONDUCTOR
Centric RF,CENTRIC RF
Century Spring,CENTURY SPRING COMPANY
CENTURY SPRING CORP,CENTURY SPRING COMPANY
Century Spring Corp.,CENTURY SPRING CORP.
CHEROKEE INTERNATIONAL,CHEROKEE INTERNATIONAL
CHERRY ELECTRICAL PRODUCTS,CHERRY ELECTRICAL PRODUCTS
Cisco,CISCO
Citizen,CITIZEN
CKD COMPONENTS,CKD
CLARE,CLARE
CLARION SAFETY SYSTEMS,CLARION SAFETY SYSTEMS
CLIPPARD,CLIPPARD
COFAN USA,COFAN
Coherent Inc.,COHERENT
Coil Craft,COIL CRAFT INC
COILCRAFT,COILCRAFT
Coiltronics,EATON
COLDER PRODUCTS,COLDER PRODUCTS
Colder Products Company,COLDER PRODUCTS
COMCHIP,COMCHIP TECHNOLOGY CORP
COMPUTERCABLESTORE,COMPUTER CABLE STORE
Connect Tech Inc.,CONNECT TECH
CONTEMPORARY CONTROL SYSTEMS,CONTEMPORARY CONTROL SYS
COOL INNOVATIONS,COOL INNOVATIONS
Cornell Dubilier,CORNELL DUBILIER
Cosel,COSEL
COSPHERIC,COSPHERIC
CREATIVE MANUFACTURING SOLUTIONS (CMS),CREATIVE MANUFACTURING
